iso3,country,p_E,theta,pue,c_construction,k_bar_gpu_hours,omega_pct,c_j_total,omega
MDA,Moldova,.1348,24.2,1.218,.04903,846714.29,.0161618773636746,1.52206,.0001616187736367
DNK,Denmark,.1293,17.2,1.113,.06399,4993857.14,.2424281604551185,1.5228,.0024242816045512
LTU,Lithuania,.134,18.8,1.137,.0584,1724142.86,.0444451627501051,1.52311,.0004444516275011
MKD,North Macedonia,.1352,24,1.214,.05212,867000,.0145456896273071,1.52511,.0001454568962731
GHA,Ghana,.12,30.7,1.315,.05749,2666845.4,.0121214080227559,1.52603,.0001212140802276
SVN,Slovenia,.147,21.7,1.181,.05414,1944285.71,.0323237547273491,1.53372,.0003232375472735
ALB,Albania,.1474,23.7,1.211,.05084,996285.71,.0040404693409186,1.53383,.0000404046934092
ROU,Romania,.1564,22.1,1.186,.04919,7039714.29,.0808093868183728,1.53712,.0008080938681837
DEU,Germany,.1552,19,1.14,.06143,70761714.29000001,1.579823512299189,1.54336,.0157982351229919
GRC,Greece,.1652,26.1,1.246,.04174,6978142.86,.0404046934091864,1.54393,.0004040469340919
BGR,Bulgaria,.1546,23.9,1.214,.05489,4936714.29,.0606070401137796,1.54435,.0006060704011378
SVK,Slovakia,.1644,20.9,1.169,.05334,3623428.57,.0323237547273491,1.54594,.0003232375472735
AUT,Austria,.1595,18.6,1.134,.06287,10183285.71,.202023467045932,1.54753,.0020202346704593
ITA,Italy,.162,24,1.215,.05212,42531571.43,.686879787956169,1.54798,.0068687978795617
JPN,Japan,.135,25.2,1.234,.07794,136168142.86,1.939425283640948,1.55259,.0193942528364095
CZE,Czechia,.1723,19.1,1.142,.05819,9258285.710000001,.1050522028638847,1.55401,.0010505220286388
CHE,Switzerland,.16,15.7,1.091,.07581,9011142.859999999,.4040469340918641,1.55602,.0040404693409186
HUN,Hungary,.1759,23.6,1.209,.05712,6309714.29,.0404046934091864,1.5641,.0004040469340919
SGP,Singapore,.145,28.5,1.282,.07735,8242857.14,.9131460710476128,1.56559,.0091314607104761
CYP,Cyprus,.185,28,1.275,.05478,738142.86,.0161618773636746,1.57795,.0001616187736367
SEN,Senegal,.18,32.4,1.342,.0559,1059285.71,.0080809386818373,1.583,.0000808093868184
HRV,Croatia,.2057,23.7,1.211,.05201,2472428.57,.0242428160455118,1.58437,.0002424281604551
IRL,Ireland,.228,15.3,1.085,.0535,4662571.43,1.018198273911497,1.5847,.010181982739115
GRL,Greenland,.263,-3.1,1.08,.0592,243707.14,.0040404693409186,1.61609,.0000404046934092
