scenario,label,p_T,n_exporters,hhi_T,rank_corr,top1,top2,top3,top4,top5,top5_unchanged
1,Baseline calibration,1.592069498603913,2,.933918702483743,1,KGZ,CAN,ETH,XKX,TJK,1
2,Electricity price +$0.01/kWh,1.599629498603913,2,.933918702483743,.9994918897791675,KGZ,CAN,ETH,XKX,TJK,1
3,Electricity price -$0.01/kWh,1.584509498603913,2,.933918702483743,.9993550908735587,KGZ,CAN,ETH,XKX,MNE,0
4,"GPU hardware cost +20% ($30,000)",1.863681679867019,2,.933918702483743,1,KGZ,CAN,ETH,XKX,TJK,1
5,"GPU hardware cost -20% ($20,000)",1.320457317340808,2,.933918702483743,1,KGZ,CAN,ETH,XKX,TJK,1
6,Cooling efficiency cap (PUE<=1.20),1.592069498603913,2,.933918702483743,.9920852061754935,KGZ,CAN,ETH,XKX,TJK,1
