country_iso3,country_name,p_E_raw,p_E_cr,is_subsidized,theta,construction_per_watt,construction_source,G_governance,R_grid,capacity_mw,demand_share,gdp_pc,population,urban_share,seismic,wb_region
ISL,Iceland,0.0895,0.0895,False,8.72,,predicted,0.96698112487793,1.0,60.0,0.0004848563681450423,81608.4479116436,385663.0,94.15,1,Europe & Central Asia
GBR,United Kingdom,0.0971,0.0971,False,15.89,11.879999999999999,T&T,0.8915093994140619,0.98,2590.0,0.020929631128967858,59911.3467663209,68492000.0,83.16,0,Europe & Central Asia
BLR,Belarus,0.099,0.099,False,19.82,,predicted,0.113207550048828,0.8,35.0,0.0002828328394987454,30834.1773668111,9178298.0,78.81,0,Europe & Central Asia
AUS,Australia,0.09,0.09,False,28.81,10.68,T&T,0.919811325073242,1.0,2670.0,0.02157610621942387,72272.7092136683,26659922.0,87.49,0,East Asia & Pacific
NZL,New Zealand,0.095,0.095,False,15.95,12.3,T&T,0.957547149658203,0.98,250.0,0.002020234682826547,54697.382252318,5200000.0,83.89,1,East Asia & Pacific
MAR,Morocco,0.108,0.108,False,28.54,,predicted,0.48584907531738303,0.75,50.0,0.00040404695668652354,9894.650390625,37712505.0,62.67,1,"Middle East, North Africa, Afghanistan & Pakistan"
MEX,Mexico,0.095,0.095,False,26.65,10.4,T&T,0.24056604385376001,0.75,900.0,0.007272844817933142,25243.1644887582,129739759.0,79.47,1,Latin America & Caribbean
FRA,France,0.1024,0.1024,False,21.0,10.43,T&T,0.849056625366211,0.98,1400.0,0.011313314183586236,60838.9416716424,68372286.0,78.78,0,Europe & Central Asia
ARM,Armenia,0.111,0.111,False,19.77,,predicted,0.490566024780273,0.8,10.0,8.080941145851876e-05,21534.030536117,2964300.0,65.7,1,Europe & Central Asia
CHL,Chile,0.13,0.13,False,13.44,8.61,T&T,0.7122641754150391,0.9,200.0,0.0016161877261400238,33145.403552025,19658835.0,88.82,1,Latin America & Caribbean
POL,Poland,0.1188,0.1188,False,19.74,9.16,T&T,0.650943374633789,0.92,600.0,0.004848563178420071,48473.0940286419,36687353.0,59.89,0,Europe & Central Asia
LVA,Latvia,0.1099,0.1099,False,18.36,,predicted,0.830188674926758,0.9,80.0,0.0006464750904560095,42576.4060799457,1883710.0,68.36,0,Europe & Central Asia
PRT,Portugal,0.1089,0.1089,False,22.95,10.25,T&T,0.834905624389648,0.95,100.0,0.0008080939133730471,49352.8388613032,10578174.0,61.2,1,Europe & Central Asia
MLT,Malta,0.1105,0.1105,False,27.0,,predicted,0.754716949462891,0.95,20.0,0.00016161882291703753,66568.59947529,552747.0,,0,"Middle East, North Africa, Afghanistan & Pakistan"
MYS,Malaysia,0.099,0.099,False,26.86,11.37,T&T,0.674528274536133,0.95,500.0,0.004040469365653094,36466.8914938333,35126298.0,76.44,0,East Asia & Pacific
PHL,Philippines,0.115,0.115,False,27.81,,predicted,0.372641525268555,0.7,200.0,0.0016161877261400238,10985.8292627505,114891199.0,55.12,1,East Asia & Pacific
ISR,Israel,0.108,0.108,False,28.19,,predicted,0.773584899902344,0.98,300.0,0.0024242816395130705,55171.2318814321,9849000.0,91.51,1,"Middle East, North Africa, Afghanistan & Pakistan"
ESP,Spain,0.1131,0.1131,False,24.9,10.04,T&T,0.78301887512207,0.95,720.0,0.005818275814104085,55682.2402603093,48352528.0,80.13,0,Europe & Central Asia
THA,Thailand,0.108,0.108,False,29.32,,predicted,0.575471687316895,0.85,300.0,0.0024242816395130705,23519.2120979823,71702435.0,60.93,0,East Asia & Pacific
BEL,Belgium,0.1252,0.1252,False,19.0,,predicted,0.882075500488281,1.0,400.0,0.0032323754522800476,71946.1447190292,11779946.0,,0,Europe & Central Asia
SRB,Serbia,0.1201,0.1201,False,23.2,,predicted,0.514150924682617,0.8,40.0,0.00032323754522800476,29800.0611177762,6623183.0,62.14,0,Europe & Central Asia
PAK,Pakistan,0.134,0.134,False,29.92,,predicted,0.212264156341553,0.55,50.0,0.00040404695668652354,6013.989636386,247504495.0,38.82,1,"Middle East, North Africa, Afghanistan & Pakistan"
LUX,Luxembourg,0.1277,0.1277,False,18.0,,predicted,0.976415100097656,0.98,70.0,0.0005656656789974907,150508.218886888,666430.0,,0,Europe & Central Asia
NLD,Netherlands,0.1296,0.1296,False,18.92,10.81,T&T,0.943396224975586,1.0,1800.0,0.014545689635866284,81728.6904629268,17877117.0,95.32,0,Europe & Central Asia
EST,Estonia,0.1288,0.1288,False,18.21,,predicted,0.896226425170898,0.95,50.0,0.00040404695668652354,48637.1802208795,1370286.0,70.68,0,Europe & Central Asia
KOR,South Korea,0.125,0.125,False,25.98,10.07,T&T,0.8584906005859381,0.98,850.0,0.0068687978612466186,57429.8031076402,51712619.0,81.16,0,East Asia & Pacific
MDA,Moldova,0.1348,0.1348,False,24.23,,predicted,0.471698112487793,0.75,20.0,0.00016161882291703753,17746.9405538684,2457783.0,43.0,0,Europe & Central Asia
DNK,Denmark,0.1293,0.1293,False,17.21,12.02,T&T,0.995283050537109,1.0,300.0,0.0024242816395130705,77892.2932609904,5946952.0,88.55,0,Europe & Central Asia
LTU,Lithuania,0.134,0.134,False,18.8,,predicted,0.867924499511719,0.92,55.0,0.0004444516624157829,52348.2468215268,2871585.0,68.58,0,Europe & Central Asia
MKD,North Macedonia,0.1352,0.1352,False,23.96,,predicted,0.452830200195312,0.8,18.0,0.0001454568601404775,25429.0944700616,1827816.0,62.25,1,Europe & Central Asia
GHA,Ghana,0.12,0.12,False,30.68,,predicted,0.495283012390137,0.6,15.0,0.00012121411718777815,7556.41605453234,33787914.0,57.81,0,Sub-Saharan Africa
SVN,Slovenia,0.147,0.147,False,21.73,,predicted,0.825471725463867,0.95,40.0,0.00032323754522800476,56064.0974596742,2120461.0,,0,Europe & Central Asia
ALB,Albania,0.1474,0.1474,False,23.72,,predicted,0.457547187805176,0.8,5.0,4.040470572925938e-05,25011.1181110199,2414095.0,58.21,1,Europe & Central Asia
ROU,Romania,0.1564,0.1564,False,22.08,,predicted,0.6415093994140619,0.85,100.0,0.0008080939133730471,47038.5288626113,19061062.0,52.16,1,Europe & Central Asia
DEU,Germany,0.1552,0.1552,False,19.01,11.545,T&T,0.929245300292969,1.0,1955.0,0.015798235111049042,71684.0311875583,83287273.0,81.9,0,Europe & Central Asia
GRC,Greece,0.1652,0.1652,False,26.09,7.84,T&T,0.570754699707031,0.9,50.0,0.00040404695668652354,42710.5058010314,10407351.0,78.77,1,Europe & Central Asia
BGR,Bulgaria,0.1546,0.1546,False,23.95,,predicted,0.537735862731934,0.85,75.0,0.00060607038472675,38804.100900756,6446596.0,73.73,1,Europe & Central Asia
SVK,Slovakia,0.1644,0.1644,False,20.94,,predicted,0.688679275512695,0.92,40.0,0.00032323754522800476,45973.9406902991,5426740.0,53.19,0,Europe & Central Asia
AUT,Austria,0.1595,0.1595,False,18.59,11.81,T&T,0.9716981506347661,1.0,250.0,0.002020234682826547,73544.6567230487,9131761.0,69.23,0,Europe & Central Asia
ITA,Italy,0.162,0.162,False,24.01,9.79,T&T,0.6084905624389649,0.95,850.0,0.0068687978612466186,60029.871712398,58984216.0,69.54,1,Europe & Central Asia
JPN,Japan,0.135,0.135,False,25.25,14.635,T&T,0.924528274536133,0.98,2400.0,0.019394252814286354,50661.7663463109,124516650.0,92.08,1,East Asia & Pacific
CZE,Czechia,0.1723,0.1723,False,19.15,,predicted,0.844339599609375,0.95,130.0,0.001050522047142533,55761.3798291375,10864042.0,72.74,0,Europe & Central Asia
CHE,Switzerland,0.16,0.16,False,15.71,14.24,T&T,0.985849075317383,1.0,500.0,0.004040469365653094,95141.5960943632,8888822.0,85.19,0,Europe & Central Asia
HUN,Hungary,0.1759,0.1759,False,23.63,,predicted,0.6320754623413091,0.92,50.0,0.00040404695668652354,46592.3856070073,9592186.0,70.29,0,Europe & Central Asia
SGP,Singapore,0.145,0.145,False,28.5,14.53,T&T,0.981132049560547,1.0,1130.0,0.009131460677842651,143786.136293013,5917648.0,100.0,0,East Asia & Pacific
CYP,Cyprus,0.185,0.185,False,28.0,,predicted,0.71698112487793,0.95,20.0,0.00016161882291703753,59422.90234375,1344976.0,,0,Europe & Central Asia
SEN,Senegal,0.18,0.18,False,32.44,,predicted,0.42924530029296903,0.65,10.0,8.080941145851876e-05,4777.61451861578,18077573.0,54.7,0,Sub-Saharan Africa
HRV,Croatia,0.2057,0.2057,False,23.7,,predicted,0.594339637756348,0.9,30.0,0.00024242813376948596,47959.4354345969,3859686.0,57.24,1,Europe & Central Asia
IRL,Ireland,0.228,0.228,False,15.32,10.05,T&T,0.938679275512695,0.98,1260.0,0.010181982724985184,129682.607150517,5311538.0,64.12,0,Europe & Central Asia
GRL,Greenland,0.263,0.263,False,-3.08,,predicted,0.995283050537109,0.85,5.0,4.040470572925938e-05,78840.5978395988,56865.0,,0,Europe & Central Asia
