iso3,country,region,gdp_pcap_ppp,population,predicted_usd_per_watt,actual_usd_per_watt,source
TGO,Togo,Sub-Saharan Africa ,3154.43,9304337,10.17,,predicted
ZMB,Zambia,Sub-Saharan Africa ,4077.0,20723965,10.16,,predicted
SRB,Serbia,Europe & Central Asia,29800.06,6623183,10.15,,predicted
RWA,Rwanda,Sub-Saharan Africa ,3399.45,13954471,10.14,,predicted
FJI,Fiji,East Asia & Pacific,14644.18,924145,10.12,,predicted
ARG,Argentina,Latin America & Caribbean ,30221.5,45538401,10.1,,predicted
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",55171.23,9849000,10.09,,predicted
WSM,Samoa,East Asia & Pacific,8194.81,216663,10.08,,predicted
THA,Thailand,East Asia & Pacific,23519.21,71702435,10.03,,predicted
CYM,Cayman Islands,Latin America & Caribbean ,88427.79,73038,10.02,,predicted
SVK,Slovak Republic,Europe & Central Asia,45973.94,5426740,10.02,,predicted
MLI,Mali,Sub-Saharan Africa ,3174.63,23769127,9.99,,predicted
USA,United States,North America,82304.62,336806231,9.99,10.78,DCCI
MNG,Mongolia,East Asia & Pacific,18004.85,3481145,9.98,,predicted
POL,Poland,Europe & Central Asia,48473.09,36687353,9.98,9.16,DCCI
BEL,Belgium,Europe & Central Asia,71946.14,11779946,9.97,,predicted
LBR,Liberia,Sub-Saharan Africa ,1794.53,5493031,9.96,,predicted
TCD,Chad,Sub-Saharan Africa ,2700.36,19319064,9.94,,predicted
BFA,Burkina Faso,Sub-Saharan Africa ,2759.3,23025776,9.92,,predicted
ITA,Italy,Europe & Central Asia,60029.87,58984216,9.92,9.79,DCCI
TZA,Tanzania,Sub-Saharan Africa ,4018.52,66617606,9.92,,predicted
UKR,Ukraine,Europe & Central Asia,17665.34,37732836,9.86,,predicted
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,4233.74,112630,9.84,,predicted
UGA,Uganda,Sub-Saharan Africa ,3097.64,48656601,9.84,,predicted
SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,51686.65,42749,9.83,,predicted
MKD,North Macedonia,Europe & Central Asia,25429.09,1827816,9.79,,predicted
CAF,Central African Republic,Sub-Saharan Africa ,1257.09,5152421,9.78,,predicted
AZE,Azerbaijan,Europe & Central Asia,23651.6,10153958,9.77,,predicted
HRV,Croatia,Europe & Central Asia,47959.44,3859686,9.77,,predicted
PRT,Portugal,Europe & Central Asia,49352.84,10578174,9.77,10.25,DCCI
ARM,Armenia,Europe & Central Asia,21534.03,2964300,9.76,,predicted
KIR,Kiribati,East Asia & Pacific,3485.56,132530,9.71,,predicted
MWI,Malawi,Sub-Saharan Africa ,1830.46,21104482,9.71,,predicted
SDN,Sudan,Sub-Saharan Africa ,2420.66,50042791,9.7,,predicted
NER,Niger,Sub-Saharan Africa ,1875.15,26159867,9.69,,predicted
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa ,1555.61,18358615,9.65,,predicted
CHL,Chile,Latin America & Caribbean ,33145.4,19658835,9.64,8.61,DCCI
MDG,Madagascar,Sub-Saharan Africa ,1808.45,31195932,9.63,,predicted
TCA,Turks and Caicos Islands,Latin America & Caribbean ,35336.74,46198,9.61,,predicted
ABW,Aruba,Latin America & Caribbean ,46574.36,107359,9.6,,predicted
KNA,St. Kitts and Nevis,Latin America & Caribbean ,33979.63,46758,9.59,,predicted
GEO,Georgia,Europe & Central Asia,25071.97,3715483,9.58,,predicted
MOZ,Mozambique,Sub-Saharan Africa ,1678.39,33635160,9.58,,predicted
ALB,Albania,Europe & Central Asia,25011.12,2414095,9.55,,predicted
BDI,Burundi,Sub-Saharan Africa ,1149.98,13689450,9.55,,predicted
