iso3,fdi_raw
ALB,6.90036950940795
ARE,5.87184069440898
ARG,3.81190879856952
ARM,2.39959276465582
AUS,2.03614704389564
AUT,0.566112370322707
AZE,0.349083720733803
BEL,-0.652181403274145
BGR,5.4578492660207
BIH,4.0920266922729
BLR,2.74854001098901
BRA,2.86383330702497
CAN,1.93601776565032
CHE,-9.75776508855016
CHL,5.47730938390937
CHN,0.280991103634816
COL,4.58478761240549
CYP,-63.1546692723109
CZE,3.4462419046487
DEU,1.69740103499567
DNK,2.21212901346256
DZA,0.489819143410423
EGY,2.48546398363597
ESP,2.89981565316893
EST,12.9027265859711
ETH,2.40146315358044
FIN,-0.0389119475535467
FRA,0.590645170561014
GBR,0.403116734836793
GEO,6.86202066832702
GHA,1.63794208213468
GRC,1.94366777616511
GRL,2.21212901346256
HRV,3.90300483680134
HUN,-33.1910318158224
IDN,1.57116694173474
IND,0.771919134264091
IRL,-24.6702589530642
IRN,0.310885408088419
ISL,5.95630440129812
ISR,3.15712318737314
ITA,1.8137542726883
JPN,0.47897443130528
KAZ,2.18549414987511
KEN,0.472521238226254
KGZ,1.04737270916902
KOR,1.03221435142435
LTU,4.80150438624708
LUX,-10.4511316835125
LVA,3.94830779361871
MAR,0.725864122672683
MDA,2.15951089914844
MEX,1.72496522551661
MKD,4.04601094449743
MLT,111.222080423027
MNE,6.87914947745747
MYS,1.97990062716743
NGA,0.384195197914633
NLD,-30.2430732965592
NOR,2.8543922106997
NZL,1.72217162155154
PAK,0.608281270820624
PHL,2.0421035482067
POL,4.38918673390545
PRT,3.96325428743124
QAT,-0.21820397647038
ROU,2.50426860654842
RUS,-0.484918766027148
SAU,1.87131032249407
SEN,15.6044600024418
SGP,26.2141035698283
SRB,6.06995232091603
SVK,0.393861455912485
SVN,2.09028809314832
SWE,3.22500296728157
THA,2.00183400496619
TJK,1.14813698883392
TKM,3.00321589469314
TUR,0.933806495534912
UKR,2.52287921090664
USA,1.32618252590589
UZB,2.10084902446518
VNM,4.26407109843686
XKX,6.06995232091603
ZAF,1.0127377916456
