iso3,sanctioned,source
IRN,1,"OFAC comprehensive sanctions; EU restrictive measures"
RUS,1,"OFAC comprehensive sanctions post-2022; EU sanctions"
BLR,1,"OFAC sanctions (Belarus); EU restrictive measures"
PRK,1,"OFAC comprehensive sanctions; UN Security Council"
SYR,1,"OFAC comprehensive sanctions; EU sanctions"
TKM,1,"De facto trade restrictions; export control alignment"
