iso3,country,temp_annual_C,temp_summer_peak_C,n_grid_cells
SOM,Somalia,27.72,29.76,39
TCD,Chad,27.75,33.84,107
TGO,Togo,27.8,30.84,6
GHA,Ghana,27.89,30.68,21
NER,Niger,28.04,34.8,99
QAT,Qatar,28.08,36.07,2
BEN,Benin,28.25,31.89,9
OMN,Oman,28.35,34.55,28
MRT,Mauritania,28.47,35.77,93
SSD,S. Sudan,28.72,32.35,53
SEN,Senegal,28.82,32.44,19
ARE,United Arab Emirates,29.06,37.11,6
DJI,Djibouti,29.14,34.65,1
BFA,Burkina Faso,29.22,33.89,21
MLI,Mali,29.4,35.86,103
GMB,Gambia,29.54,33.25,1
