iso,country,cj_cr,rank_cr,G_RoL,G_RegQ,R_grid,BIT_G7,BIT_score,ICSID,FDI_raw,FDI_score,xi_raw_v26,xi_eff_v26,rank_v26,xi_eff_A,adj_cost_A,rank_A,delta_A,xi_eff_B,adj_cost_B,rank_B,delta_B,xi_eff_C,adj_cost_C,rank_C,delta_C,shift_A,shift_B,shift_C
DEU,Germany,1.5465884829801775,73,0.929245300292969,0.919811325073242,1.0,7,1.0,1,1.69740103499567,0.4427102773958305,0.9658964015024689,0.9829482007512345,20,0.9657082633295802,1.6015069371445905,17,56,0.9914670435603905,1.5598990334830776,12,61,0.7501333893089874,2.061751289867091,53,20,3,8,-33
ITA,Italy,1.5472108860982854,74,0.6084905624389649,0.726415100097656,0.95,7,1.0,1,1.8137542726883,0.46195451975413304,0.8901615107729626,0.9450807553864813,34,0.8781252498639385,1.7619478386915974,39,35,0.9671701642909702,1.599729751002546,22,52,0.7573581242956202,2.042905247154068,52,22,-5,12,-18
AUT,Austria,1.5514033710705266,75,0.9716981506347661,0.900943374633789,1.0,6,0.8571428571428571,1,0.566112370322707,0.27178797989848047,0.9829743023715227,0.9914871511857614,16,0.9575756189680278,1.620136666326637,24,51,0.9588116755877918,1.6180480594580278,29,46,0.6652211775806656,2.3321617280929114,72,3,-8,-13,-56
CZE,Czechia,1.5558363669242035,76,0.844339599609375,0.877358474731445,0.95,7,1.0,1,3.4462419046487,0.7186128688560314,0.907328753100414,0.9536643765502071,33,0.9439448877808823,1.6482279707894976,28,48,0.9832068854300744,1.5824099586565135,18,58,0.8746703161935722,1.7787689122628043,28,48,5,15,5
JPN,Japan,1.562927820313815,77,0.924528274536133,0.924528274536133,0.98,7,1.0,1,0.47897443130528,0.26042612230994816,0.98,0.99,24,0.9663221918565721,1.6173982482084972,22,55,0.9904810875038874,1.5779481708757825,15,62,0.6588494730412111,2.3722077413212923,76,1,2,9,-52
HUN,Hungary,1.5654428887091303,78,0.6320754623413091,0.627358474731445,0.92,6,0.8571428571428571,1,-33.1910318158224,6.062136757805148e-11,0.8342763811494759,0.917138190574738,42,0.8322206182891031,1.8810431444577775,52,26,0.9237925914537872,1.6945826402932802,54,24,0.5013916761304661,3.122195607215844,83,-5,-10,-12,-41
CHE,Switzerland,1.5654647638836683,79,0.985849075317383,0.957547149658203,1.0,6,0.8571428571428571,1,-9.75776508855016,0.0003784011304704953,1.0,1.0,17,0.9818991352797042,1.5943233959949759,15,64,0.9649106346328267,1.62239352298088,31,48,0.5014091914656322,3.1221301693887455,82,-3,2,-14,-65
SGP,Singapore,1.5756012547955247,80,0.981132049560547,1.0,1.0,6,0.8571428571428571,1,26.2141035698283,0.9999999022129904,1.0,1.0,22,1.0,1.5756012547955247,12,68,0.9694755976407682,1.6252098130471477,33,47,0.9999999584405206,1.5756013202766954,9,71,10,-11,13
CYP,Cyprus,1.5783449566359689,81,0.71698112487793,0.759433975219727,0.95,6,0.8571428571428571,1,-63.1546692723109,1.239854457523865e-19,0.8643002281685779,0.9321501140842889,40,0.8926856800417968,1.768085891735228,41,40,0.9401017619352678,1.6789086251543992,49,32,0.5013983907582987,3.14788596399149,84,-3,-1,-9,-44
HRV,Croatia,1.583649673276778,82,0.594339637756348,0.7216981506347661,0.9,7,1.0,1,3.90300483680134,0.7760141121492563,0.8401421134202072,0.9200710567101036,44,0.8729998303682203,1.8140320515398205,44,38,0.9628980622491934,1.6446701217547337,40,42,0.8967304702408712,1.7660263878971272,27,55,0,4,17
SEN,Senegal,1.583921536261796,83,0.42924530029296903,0.391509437561035,0.65,5,0.7142857142857143,1,15.6044600024418,0.9998833307489995,0.65,0.825,69,0.711221395674372,2.227044273267313,75,8,0.8482397503864951,1.8673040676767294,76,7,0.9686665273119555,1.6351566732228995,17,66,-6,-7,52
IRL,Ireland,1.5845732227778808,84,0.938679275512695,0.9622641754150391,0.98,6,0.8571428571428571,1,-24.6702589530642,1.7930525721677207e-08,0.9714934693123698,0.9857467346561849,29,0.9824519716667759,1.6128760168189982,20,64,0.9640099752862699,1.6437311473953682,39,45,0.501404927507248,3.16026655472981,85,-1,9,-10,-56
GRL,Greenland,1.6183727237285235,85,0.995283050537109,0.981132049560547,0.85,6,0.8571428571428571,1,2.21212901346256,0.5283525120568346,0.9342818313389369,0.9671409156694685,39,0.9801215355065226,1.651195964072104,29,56,0.9561901054244815,1.6925219310966195,53,32,0.7837056947230661,2.065026112002924,55,30,10,-14,-16
