Country,iso3,c_raw,Rank_1,Type_1,c_cr,Rank_2,Type_2,c_adj,xi,Rank_3,Type_3,c_adj_4,Rank_4,Type_4,Delta
Poland,POL,1.652550546890779,46,II,1.652550546890779,44,II,1.7386045767778846,0.7738655598119649,34,II,1.7386045767778846,34,II,12
Montenegro,MNE,1.6055419831313837,14,IE,1.6055419831313837,7,IE,1.740448194952126,0.6472000617443382,35,II,1.740448194952126,35,ID,-21
Czechia,CZE,1.7038200026858545,77,II,1.7038200026858545,77,II,1.744119507524128,0.8956129854065908,36,II,1.744119507524128,36,II,41
Ireland,IRL,1.734697153780733,83,II,1.734697153780733,83,II,1.7507514666205726,0.9591171409178554,37,II,1.7507514666205726,37,II,46
Saudi Arabia,SAU,1.6201794511717893,25,ID,1.6660700161717894,55,ID,1.7570342444864837,0.7720042428606676,38,II,1.7570342444864837,38,ID,-13
Vietnam,VNM,1.6199986466007108,24,ID,1.6199986466007108,16,ID,1.7579731056936976,0.6549881216238838,39,ID,1.7579731056936976,39,ID,-15
Kosovo,XKX,1.5985104746282968,10,IE,1.5985104746282968,4,IE,1.7588627135308954,0.5999213675789786,40,II,1.7588627135308954,40,ID,-30
Georgia,GEO,1.632376095054016,31,II,1.632376095054016,25,II,1.7708990941982536,0.6644617595705872,41,II,1.7708990941982536,41,IE,-10
Slovakia,SVK,1.6960466591867398,73,II,1.6960466591867398,73,II,1.782676533182641,0.7959804856098418,42,II,1.782676533182641,42,II,31
India,IND,1.6258136020338319,29,ID,1.6258136020338319,21,ID,1.7852097929159028,0.6268369276326929,43,II,1.7852097929159028,43,ID,-14
Thailand,THA,1.6594809035896263,53,ID,1.6594809035896263,51,ID,1.7890344570635173,0.6993932614912448,44,II,1.7890344570635173,44,ID,9
Romania,ROU,1.68597555410332,68,II,1.68597555410332,68,II,1.8021292778439972,0.738432792813234,45,II,1.8021292778439972,45,II,23
Italy,ITA,1.697976948105016,75,II,1.697976948105016,75,II,1.8051385309821808,0.7603065397042279,46,II,1.8051385309821808,46,II,29
Greenland,GRL,1.777156145336726,85,II,1.777156145336726,85,II,1.8137094224276054,0.9197774692590283,47,II,1.8137094224276054,47,II,38
Cyprus,CYP,1.7369475280034923,84,II,1.7369475280034923,84,II,1.8171464389157683,0.8253072571073354,48,II,1.8171464389157683,48,II,36
Armenia,ARM,1.6500381888931257,44,II,1.6500381888931257,41,II,1.82413539880468,0.6264605492959779,49,II,1.82413539880468,49,ID,-5
Hungary,HUN,1.714127161596573,79,II,1.714127161596573,79,II,1.8249916158662485,0.7625676529685772,50,II,1.8249916158662485,50,II,29
Greece,GRC,1.6939258345371402,71,II,1.6939258345371402,71,II,1.8266785687563767,0.7167141897132552,51,II,1.8266785687563767,51,II,20
Indonesia,IDN,1.6263822083339308,30,IE,1.6263822083339308,22,IE,1.8273672980799962,0.571740139761545,52,II,1.8273672980799962,52,ID,-22
Egypt,EGY,1.5837577601733734,5,EE,1.6228921001733736,18,ID,1.8334225352734628,0.5571152102419303,53,II,1.8334225352734628,53,ID,-48
Serbia,SRB,1.6638429056582127,54,ID,1.6638429056582127,52,ID,1.8348448393500685,0.6413429189958314,54,II,1.8348448393500685,54,II,0
Morocco,MAR,1.6468515809544872,41,ID,1.6468515809544872,38,ID,1.8364726626702015,0.6036446027987306,55,II,1.8364726626702015,55,ID,-14
Argentina,ARG,1.612885362167945,17,ID,1.612885362167945,10,ID,1.8370585972869986,0.5319951654372281,56,ID,1.8370585972869986,56,ID,-39
South Africa,ZAF,1.5961617955998826,9,ID,1.6426736455998827,33,ID,1.8373711099264236,0.5937965374828618,57,ID,1.8373711099264236,57,ID,-48
Brazil,BRA,1.6210805029076627,26,ID,1.6210805029076627,17,ID,1.8432510973131147,0.5420958656467225,58,II,1.8432510973131147,58,ID,-32
Colombia,COL,1.6128876609736753,18,ID,1.6128876609736753,11,ID,1.8495065934646195,0.5185247552713599,59,II,1.8495065934646195,59,ID,-41
Bulgaria,BGR,1.6940028157535982,72,II,1.6940028157535982,72,II,1.8549623090675964,0.6760735783345951,60,II,1.8549623090675964,60,II,12
Kazakhstan,KAZ,1.614713165163741,20,IE,1.631058200163741,23,ID,1.8612531893188002,0.5425307642216732,61,II,1.8612531893188002,61,II,-41
Croatia,HRV,1.7338425392583696,81,II,1.7338425392583696,81,II,1.8718642745575385,0.7313724591346827,62,II,1.8718642745575385,62,II,19
Bosnia and Herz.,BIH,1.6384207138047946,35,ID,1.6384207138047946,31,ID,1.872357210373632,0.5451328451654455,63,II,1.872357210373632,63,II,-28
North Macedonia,MKD,1.6756298153948699,64,ID,1.6756298153948699,64,ID,1.8856858175136004,0.6018838427439712,64,II,1.8856858175136004,64,II,0
Turkey,TUR,1.6364588806232117,33,ID,1.6364588806232117,28,ID,1.8873585984392247,0.5259761726726419,65,II,1.8873585984392247,65,II,-32
Moldova,MDA,1.6733276605580183,62,ID,1.6733276605580183,62,ID,1.888109241397509,0.5947886888348203,66,II,1.888109241397509,66,II,-4
Albania,ALB,1.6841943033993638,67,II,1.6841943033993638,67,II,1.8971149838514916,0.6050105373000876,67,II,1.8971149838514916,67,II,0
Kenya,KEN,1.6378521581673782,34,ID,1.6378521581673782,29,ID,1.9219151001123316,0.49621206143352625,68,II,1.9219151001123316,68,ID,-34
Azerbaijan,AZE,1.6137080153199004,19,IE,1.6137080153199004,12,IE,1.9230810753902499,0.45245660774025365,69,II,1.9230810753902499,69,II,-50
Ghana,GHA,1.6763331571474305,66,ID,1.6763331571474305,66,ID,1.9419043855388078,0.5451328346688377,70,II,1.9419043855388078,70,II,-4
Philippines,PHL,1.6572180057772432,50,ID,1.6572180057772432,48,ID,1.943800618354588,0.510733852106935,71,II,1.943800618354588,71,II,-21
Algeria,DZA,1.5850706887867618,6,EE,1.616238048786762,14,IE,1.958463675092665,0.43000658207668496,72,II,1.958463675092665,72,II,-66
Ethiopia,ETH,1.5770293070675954,3,EE,1.5945601070675954,3,DD,1.9730661656438409,0.3845482573764727,73,ID,1.9730661656438409,73,ID,-70
Ukraine,UKR,1.6084382738911356,16,IE,1.6084382738911356,8,IE,2.007603622512046,0.3854671314640027,74,II,2.007603622512046,74,II,-58
Mexico,MEX,1.6468672083441978,42,ID,1.6468672083441978,39,ID,2.037982557505434,0.4247640908672954,75,II,2.037982557505434,75,II,-33
Uzbekistan,UZB,1.6174406396061607,22,IE,1.6347672146061607,27,II,2.045984076103962,0.4022343198234371,76,II,2.045984076103962,76,II,-54
Senegal,SEN,1.7340982691287643,82,ID,1.7340982691287643,82,ID,2.0699650905412508,0.528213446620237,77,ID,2.0699650905412508,77,ID,5
Kyrgyzstan,KGZ,1.579299808081785,4,EE,1.579299808081785,1,EE,2.1269980825663746,0.2877203867875994,78,II,2.1269980825663746,78,II,-74
Iran,IRN,1.557337209388581,1,DD,1.631467209388581,24,ID,2.146387857602061,0.3468184141451215,79,ID,2.146387857602061,79,DD,-78
Russia,RUS,1.593260881738705,8,ID,1.6126622567387052,9,ID,2.1466168366690055,0.3228703768787217,80,II,2.1466168366690055,80,DD,-72
Nigeria,NGA,1.6029386832194734,11,ID,1.6382062932194734,30,ID,2.2377560288275684,0.31845736066373626,81,II,2.2377560288275684,81,II,-70
Pakistan,PAK,1.665126815145787,56,ID,1.665126815145787,54,ID,2.2567550798263927,0.34168009305175234,82,II,2.2567550798263927,82,II,-26
Belarus,BLR,1.6466590170444209,40,II,1.6466590170444209,37,II,2.3170436542596606,0.3009419213719856,83,II,2.3170436542596606,83,DD,-43
Tajikistan,TJK,1.6052698466214208,13,IE,1.6052698466214208,6,IE,2.3323004924196216,0.253745530187767,84,II,2.3323004924196216,84,II,-71
Turkmenistan,TKM,1.5673899685316992,2,DD,1.623617468531699,19,ID,2.5513078164480714,0.22254954943623095,85,II,2.5513078164480714,85,DD,-83
