Country,iso3,p_E,theta,PUE,Constr_per_W,k_bar_MW,omega_pct,xi,c_adj,mu,Cost_Rec_pE
Canada,CAN,0.045,14.63,1.08,9.39,3200.0,2.585900371884645,0.9491803699159549,1.6045984451282045,0.0,0.045
Norway,NOR,0.0541,14.5,1.08,12.41,400.0,0.32323754522800474,0.9952718346161882,1.6162471139266434,0.0,0.0541
Finland,FIN,0.0571,16.38,1.1007,12.29,350.0,0.2828328495593524,1.0,1.6174829139869082,0.0,0.0571
Sweden,SWE,0.0682,15.17,1.0825500000000001,12.29,500.0,0.40404693656530943,0.9664172234370924,1.6344508124488257,0.0,0.0682
Iceland,ISL,0.0895,8.72,1.08,12.53444579901009,60.0,0.048485636814504234,0.9833519842243316,1.6472659565767875,0.0,0.0895
New Zealand,NZL,0.095,15.95,1.0942500000000002,12.3,250.0,0.20202346828265472,0.9687085251328384,1.6556198543173335,0.0,0.095
Australia,AUS,0.09,28.81,1.28715,10.68,2670.0,2.157610621942387,0.9590679460149015,1.6582966569481197,0.0,0.09
United States,USA,0.0813,22.94,1.1991,10.778,53700.0,43.39464069334451,0.9178522906511772,1.6583472717411374,0.0,0.0813
United Kingdom,GBR,0.0971,15.89,1.09335,11.879999999999999,2590.0,2.092963112896786,0.9347080888843216,1.6657070646214696,0.0,0.0971
Denmark,DNK,0.1293,17.21,1.11315,12.02,300.0,0.24242816395130704,0.9976387374882297,1.6735467146358463,0.0,0.1293
France,FRA,0.1024,21.0,1.1700000000000002,10.43,1400.0,1.1313314183586236,0.9121817214014358,1.6753120945400028,0.0,0.1024
Netherlands,NLD,0.1296,18.92,1.1388,10.81,1800.0,1.4545689635866283,0.9712858616162319,1.6781109047784164,0.0,0.1296
Luxembourg,LUX,0.1277,18.0,1.125,12.620470745328047,70.0,0.05656656789974907,0.9782059078208958,1.6828903412827207,0.0,0.1277
Belgium,BEL,0.1252,19.0,1.1400000000000001,11.362173425046697,400.0,0.32323754522800474,0.9391887459335748,1.6885559783850321,0.0,0.1252
Portugal,PRT,0.1089,22.95,1.1992500000000001,10.25,100.0,0.0808093913373047,0.8905954991858905,1.690406752422231,0.0,0.1089
Estonia,EST,0.1288,18.21,1.12815,11.362994008887991,50.0,0.04040469566865235,0.9227215744266267,1.6964143526704603,0.0,0.1288
UAE,ARE,0.065,37.11,1.41165,9.24,500.0,0.40404693656530943,0.8650716926103367,1.6968360390344763,0.0,0.095
